original,sanitized
[4E Energeiaki 176 KWp Likovouni] PCC PCC power factor of phase L3 (-),4e_energeiaki_176_kwp_likovouni__pcc_power_factor_of_phase_l3
[4E Energeiaki 176 KWp Likovouni] PCC PCC reactive energy export (kVArh),4e_energeiaki_176_kwp_likovouni__pcc_reactive_energy_export__kvarh
[4E Energeiaki 176 KWp Likovouni] PCC PCC reactive energy import (kVArh),4e_energeiaki_176_kwp_likovouni__pcc_reactive_energy_import__kvarh
[4E Energeiaki 176 KWp Likovouni] PCC PCC total power factor (-),4e_energeiaki_176_kwp_likovouni__pcc_total_power_factor
[4E Energeiaki 176 KWp Likovouni] PCC PCC voltage of L1-L2 (Vac),4e_energeiaki_176_kwp_likovouni__pcc_voltage_of_l1_l2__vac
[4E Energeiaki 176 KWp Likovouni] PCC PCC voltage of L2-L3 (Vac),4e_energeiaki_176_kwp_likovouni__pcc_voltage_of_l2_l3__vac
[4E Energeiaki 176 KWp Likovouni] PCC PCC voltage of L3-L1 (Vac),4e_energeiaki_176_kwp_likovouni__pcc_voltage_of_l3_l1__vac
[4E Energeiaki 176 KWp Likovouni] PCC Production active energy export (kWh),4e_energeiaki_176_kwp_likovouni__pcc_production_active_energy_export__kwh
[4E Energeiaki 176 KWp Likovouni] PCC Production active energy import (kWh),4e_energeiaki_176_kwp_likovouni__pcc_production_active_energy_import__kwh
[4E Energeiaki 176 KWp Likovouni] PCC Production apparent energy (kVAh),4e_energeiaki_176_kwp_likovouni__pcc_production_apparent_energy__kvah
[4E Energeiaki 176 KWp Likovouni] PCC Production current of phase L1 (A),4e_energeiaki_176_kwp_likovouni__pcc_production_current_of_phase_l1__a
[4E Energeiaki 176 KWp Likovouni] PCC Production current of phase L2 (A),4e_energeiaki_176_kwp_likovouni__pcc_production_current_of_phase_l2__a
[4E Energeiaki 176 KWp Likovouni] PCC Production current of phase L3 (A),4e_energeiaki_176_kwp_likovouni__pcc_production_current_of_phase_l3__a
[4E Energeiaki 176 KWp Likovouni] PCC Production frequency (Hz),4e_energeiaki_176_kwp_likovouni__pcc_production_frequency__hz
[4E Energeiaki 176 KWp Likovouni] PCC Production reactive energy export (kVArh),4e_energeiaki_176_kwp_likovouni__pcc_production_reactive_energy_export__kvarh
[4E Energeiaki 176 KWp Likovouni] PCC Production reactive energy import (kVArh),4e_energeiaki_176_kwp_likovouni__pcc_production_reactive_energy_import__kvarh
[4E Energeiaki 176 KWp Likovouni] PCC Production total power factor (-),4e_energeiaki_176_kwp_likovouni__pcc_production_total_power_factor
[4E Energeiaki 176 KWp Likovouni] PCC Production voltage of L1-L2 (Vac),4e_energeiaki_176_kwp_likovouni__pcc_production_voltage_of_l1_l2__vac
[4E Energeiaki 176 KWp Likovouni] PCC Production voltage of L2-L3 (Vac),4e_energeiaki_176_kwp_likovouni__pcc_production_voltage_of_l2_l3__vac
[4E Energeiaki 176 KWp Likovouni] PCC Production voltage of L3-L1 (Vac),4e_energeiaki_176_kwp_likovouni__pcc_production_voltage_of_l3_l1__vac
[4E Energeiaki 176 KWp Likovouni] PCC Total Production active power (kW),4e_energeiaki_176_kwp_likovouni__pcc_total_production_active_power__kw
[4E Energeiaki 176 KWp Likovouni] PCC Total Production apparent power (kVA),4e_energeiaki_176_kwp_likovouni__pcc_total_production_apparent_power__kva
[4E Energeiaki 176 KWp Likovouni] PCC Total Production reactive power (kVAr),4e_energeiaki_176_kwp_likovouni__pcc_total_production_reactive_power__kvar
[4E Energeiaki 176 KWp Likovouni] Weather Station 1 Ambient temperature (C),4e_energeiaki_176_kwp_likovouni__weather_station_1_ambient_temperature__c
[4E Energeiaki 176 KWp Likovouni] Weather Station 1 Relative humidity (%),4e_energeiaki_176_kwp_likovouni__weather_station_1_relative_humidity__pct
[4E Energeiaki 176 KWp Likovouni] Weather Station 1 Wind speed (m*s^-1),4e_energeiaki_176_kwp_likovouni__weather_station_1_wind_speed__m_s_1
[4E Energeiaki 4472 KWp Lexaina] 4E Energeiaki 4472 KWp Lexaina Average Irradiance (W*m^-2),4e_energeiaki_4472_kwp_lexaina__m_4e_energeiaki_4472_kwp_lexaina_average_irradiance__w_m_2
[4E Energeiaki 4472 KWp Lexaina] PCC PCC active energy export (kWh),4e_energeiaki_4472_kwp_lexaina__pcc_active_energy_export__kwh
[4E Energeiaki 4472 KWp Lexaina] PCC PCC active energy import (kWh),4e_energeiaki_4472_kwp_lexaina__pcc_active_energy_import__kwh
[4E Energeiaki 4472 KWp Lexaina] PCC PCC apparent energy (kVAh),4e_energeiaki_4472_kwp_lexaina__pcc_apparent_energy__kvah
[4E Energeiaki 4472 KWp Lexaina] PCC PCC average current (A),4e_energeiaki_4472_kwp_lexaina__pcc_average_current__a
[4E Energeiaki 4472 KWp Lexaina] PCC PCC average line voltage (Vac),4e_energeiaki_4472_kwp_lexaina__pcc_average_line_voltage__vac
[4E Energeiaki 4472 KWp Lexaina] PCC PCC average phase voltage (Vac),4e_energeiaki_4472_kwp_lexaina__pcc_average_phase_voltage__vac
[4E Energeiaki 4472 KWp Lexaina] PCC PCC current of phase L1 (A),4e_energeiaki_4472_kwp_lexaina__pcc_current_of_phase_l1__a
[4E Energeiaki 4472 KWp Lexaina] PCC PCC current of phase L2 (A),4e_energeiaki_4472_kwp_lexaina__pcc_current_of_phase_l2__a
[4E Energeiaki 4472 KWp Lexaina] PCC PCC current of phase L3 (A),4e_energeiaki_4472_kwp_lexaina__pcc_current_of_phase_l3__a
[4E Energeiaki 4472 KWp Lexaina] PCC PCC frequency (Hz),4e_energeiaki_4472_kwp_lexaina__pcc_frequency__hz
[4E Energeiaki 4472 KWp Lexaina] PCC PCC power factor of phase L1 (-),4e_energeiaki_4472_kwp_lexaina__pcc_power_factor_of_phase_l1
[4E Energeiaki 4472 KWp Lexaina] PCC PCC power factor of phase L2 (-),4e_energeiaki_4472_kwp_lexaina__pcc_power_factor_of_phase_l2
[4E Energeiaki 4472 KWp Lexaina] PCC PCC power factor of phase L3 (-),4e_energeiaki_4472_kwp_lexaina__pcc_power_factor_of_phase_l3
[4E Energeiaki 4472 KWp Lexaina] PCC PCC reactive energy export (kVArh),4e_energeiaki_4472_kwp_lexaina__pcc_reactive_energy_export__kvarh
[4E Energeiaki 4472 KWp Lexaina] PCC PCC reactive energy import (kVArh),4e_energeiaki_4472_kwp_lexaina__pcc_reactive_energy_import__kvarh
[4E Energeiaki 4472 KWp Lexaina] PCC PCC total power factor (-),4e_energeiaki_4472_kwp_lexaina__pcc_total_power_factor
[4E Energeiaki 4472 KWp Lexaina] PCC PCC voltage of L1-L2 (Vac),4e_energeiaki_4472_kwp_lexaina__pcc_voltage_of_l1_l2__vac
[4E Energeiaki 4472 KWp Lexaina] PCC PCC voltage of L2-L3 (Vac),4e_energeiaki_4472_kwp_lexaina__pcc_voltage_of_l2_l3__vac
[4E Energeiaki 4472 KWp Lexaina] PCC PCC voltage of L3-L1 (Vac),4e_energeiaki_4472_kwp_lexaina__pcc_voltage_of_l3_l1__vac
[4E Energeiaki 4472 KWp Lexaina] PCC Production active energy export (kWh),4e_energeiaki_4472_kwp_lexaina__pcc_production_active_energy_export__kwh
[4E Energeiaki 4472 KWp Lexaina] PCC Production active energy import (kWh),4e_energeiaki_4472_kwp_lexaina__pcc_production_active_energy_import__kwh
[4E Energeiaki 4472 KWp Lexaina] PCC Production apparent energy (kVAh),4e_energeiaki_4472_kwp_lexaina__pcc_production_apparent_energy__kvah
[4E Energeiaki 4472 KWp Lexaina] PCC Production current of phase L1 (A),4e_energeiaki_4472_kwp_lexaina__pcc_production_current_of_phase_l1__a
[4E Energeiaki 4472 KWp Lexaina] PCC Production current of phase L2 (A),4e_energeiaki_4472_kwp_lexaina__pcc_production_current_of_phase_l2__a
[4E Energeiaki 4472 KWp Lexaina] PCC Production current of phase L3 (A),4e_energeiaki_4472_kwp_lexaina__pcc_production_current_of_phase_l3__a
[4E Energeiaki 4472 KWp Lexaina] PCC Production frequency (Hz),4e_energeiaki_4472_kwp_lexaina__pcc_production_frequency__hz
[4E Energeiaki 4472 KWp Lexaina] PCC Production reactive energy export (kVArh),4e_energeiaki_4472_kwp_lexaina__pcc_production_reactive_energy_export__kvarh
[4E Energeiaki 4472 KWp Lexaina] PCC Production reactive energy import (kVArh),4e_energeiaki_4472_kwp_lexaina__pcc_production_reactive_energy_import__kvarh
[4E Energeiaki 4472 KWp Lexaina] PCC Production total power factor (-),4e_energeiaki_4472_kwp_lexaina__pcc_production_total_power_factor
[4E Energeiaki 4472 KWp Lexaina] PCC Production voltage of L1-L2 (Vac),4e_energeiaki_4472_kwp_lexaina__pcc_production_voltage_of_l1_l2__vac
[4E Energeiaki 4472 KWp Lexaina] PCC Production voltage of L2-L3 (Vac),4e_energeiaki_4472_kwp_lexaina__pcc_production_voltage_of_l2_l3__vac
[4E Energeiaki 4472 KWp Lexaina] PCC Production voltage of L3-L1 (Vac),4e_energeiaki_4472_kwp_lexaina__pcc_production_voltage_of_l3_l1__vac
[4E Energeiaki 4472 KWp Lexaina] PCC Total Production active power (kW),4e_energeiaki_4472_kwp_lexaina__pcc_total_production_active_power__kw
[4E Energeiaki 4472 KWp Lexaina] PCC Total Production apparent power (kVA),4e_energeiaki_4472_kwp_lexaina__pcc_total_production_apparent_power__kva
[4E Energeiaki 4472 KWp Lexaina] PCC Total Production reactive power (kVAr),4e_energeiaki_4472_kwp_lexaina__pcc_total_production_reactive_power__kvar
[4E Energeiaki 4472 KWp Lexaina] Weather Station 1 Ambient Temperature (C),4e_energeiaki_4472_kwp_lexaina__weather_station_1_ambient_temperature__c
[4E Energeiaki 4472 KWp Lexaina] Weather Station 1 Relative Humidity  (%),4e_energeiaki_4472_kwp_lexaina__weather_station_1_relative_humidity__pct
[4E Energeiaki 4472 KWp Lexaina] Weather Station 1 Wind Speed  (m*s^-1),4e_energeiaki_4472_kwp_lexaina__weather_station_1_wind_speed__m_s_1
[4E Energeiaki 805 KWp Darali] 4E Energeiaki 805 KWp Darali Average Irradiance (W*m^-2),4e_energeiaki_805_kwp_darali__m_4e_energeiaki_805_kwp_darali_average_irradiance__w_m_2
[4E Energeiaki 805 KWp Darali] Main Weather Station Ambient Temperature (C),4e_energeiaki_805_kwp_darali__main_weather_station_ambient_temperature__c
[4E Energeiaki 805 KWp Darali] Main Weather Station Diffuse irradiance (W*m^-2),4e_energeiaki_805_kwp_darali__main_weather_station_diffuse_irradiance__w_m_2
[4E Energeiaki 805 KWp Darali] Main Weather Station Relative Humidity  (%),4e_energeiaki_805_kwp_darali__main_weather_station_relative_humidity__pct
[4E Energeiaki 805 KWp Darali] Main Weather Station Wind Speed  (m*s^-1),4e_energeiaki_805_kwp_darali__main_weather_station_wind_speed__m_s_1
[4E Energeiaki 805 KWp Darali] PCC PCC Current THD-R of neutral (%),4e_energeiaki_805_kwp_darali__pcc_current_thd_r_of_neutral__pct
[4E Energeiaki 805 KWp Darali] PCC PCC Current THD-R of phase L1 (%),4e_energeiaki_805_kwp_darali__pcc_current_thd_r_of_phase_l1__pct
[4E Energeiaki 805 KWp Darali] PCC PCC Current THD-R of phase L2 (%),4e_energeiaki_805_kwp_darali__pcc_current_thd_r_of_phase_l2__pct
[4E Energeiaki 805 KWp Darali] PCC PCC Current THD-R of phase L3 (%),4e_energeiaki_805_kwp_darali__pcc_current_thd_r_of_phase_l3__pct
[4E Energeiaki 805 KWp Darali] PCC PCC active energy export (kWh),4e_energeiaki_805_kwp_darali__pcc_active_energy_export__kwh
[4E Energeiaki 805 KWp Darali] PCC PCC active energy import (kWh),4e_energeiaki_805_kwp_darali__pcc_active_energy_import__kwh
[4E Energeiaki 805 KWp Darali] PCC PCC apparent energy (kVAh),4e_energeiaki_805_kwp_darali__pcc_apparent_energy__kvah
[4E Energeiaki 805 KWp Darali] PCC PCC average current (A),4e_energeiaki_805_kwp_darali__pcc_average_current__a
[4E Energeiaki 805 KWp Darali] PCC PCC average line voltage (Vac),4e_energeiaki_805_kwp_darali__pcc_average_line_voltage__vac
[4E Energeiaki 805 KWp Darali] PCC PCC average phase voltage (Vac),4e_energeiaki_805_kwp_darali__pcc_average_phase_voltage__vac
[4E Energeiaki 805 KWp Darali] PCC PCC current of phase L1 (A),4e_energeiaki_805_kwp_darali__pcc_current_of_phase_l1__a
[4E Energeiaki 805 KWp Darali] PCC PCC current of phase L2 (A),4e_energeiaki_805_kwp_darali__pcc_current_of_phase_l2__a
[4E Energeiaki 805 KWp Darali] PCC PCC current of phase L3 (A),4e_energeiaki_805_kwp_darali__pcc_current_of_phase_l3__a
[4E Energeiaki 805 KWp Darali] PCC PCC current unbalance of phase L1 (%),4e_energeiaki_805_kwp_darali__pcc_current_unbalance_of_phase_l1__pct
[4E Energeiaki 805 KWp Darali] PCC PCC current unbalance of phase L2 (%),4e_energeiaki_805_kwp_darali__pcc_current_unbalance_of_phase_l2__pct
[4E Energeiaki 805 KWp Darali] PCC PCC current unbalance of phase L3 (%),4e_energeiaki_805_kwp_darali__pcc_current_unbalance_of_phase_l3__pct
[4E Energeiaki 805 KWp Darali] PCC PCC frequency (Hz),4e_energeiaki_805_kwp_darali__pcc_frequency__hz
[4E Energeiaki 805 KWp Darali] PCC PCC power factor of phase L1 (-),4e_energeiaki_805_kwp_darali__pcc_power_factor_of_phase_l1
[4E Energeiaki 805 KWp Darali] PCC PCC power factor of phase L2 (-),4e_energeiaki_805_kwp_darali__pcc_power_factor_of_phase_l2
[4E Energeiaki 805 KWp Darali] PCC PCC power factor of phase L3 (-),4e_energeiaki_805_kwp_darali__pcc_power_factor_of_phase_l3
[4E Energeiaki 805 KWp Darali] PCC PCC reactive energy export (kVArh),4e_energeiaki_805_kwp_darali__pcc_reactive_energy_export__kvarh
[4E Energeiaki 805 KWp Darali] PCC PCC reactive energy import (kVArh),4e_energeiaki_805_kwp_darali__pcc_reactive_energy_import__kvarh
[4E Energeiaki 805 KWp Darali] PCC PCC total power factor (-),4e_energeiaki_805_kwp_darali__pcc_total_power_factor
[4E Energeiaki 805 KWp Darali] PCC PCC voltage of L1-L2 (Vac),4e_energeiaki_805_kwp_darali__pcc_voltage_of_l1_l2__vac
[4E Energeiaki 805 KWp Darali] PCC PCC voltage of L2-L3 (Vac),4e_energeiaki_805_kwp_darali__pcc_voltage_of_l2_l3__vac
[4E Energeiaki 805 KWp Darali] PCC PCC voltage of L3-L1 (Vac),4e_energeiaki_805_kwp_darali__pcc_voltage_of_l3_l1__vac
[4E Energeiaki 805 KWp Darali] PCC Production active energy export (kWh),4e_energeiaki_805_kwp_darali__pcc_production_active_energy_export__kwh
[4E Energeiaki 805 KWp Darali] PCC Production active energy import (kWh),4e_energeiaki_805_kwp_darali__pcc_production_active_energy_import__kwh
[4E Energeiaki 805 KWp Darali] PCC Production apparent energy (kVAh),4e_energeiaki_805_kwp_darali__pcc_production_apparent_energy__kvah
[4E Energeiaki 805 KWp Darali] PCC Production current of phase L1 (A),4e_energeiaki_805_kwp_darali__pcc_production_current_of_phase_l1__a
[4E Energeiaki 805 KWp Darali] PCC Production current of phase L2 (A),4e_energeiaki_805_kwp_darali__pcc_production_current_of_phase_l2__a
[4E Energeiaki 805 KWp Darali] PCC Production current of phase L3 (A),4e_energeiaki_805_kwp_darali__pcc_production_current_of_phase_l3__a
[4E Energeiaki 805 KWp Darali] PCC Production frequency (Hz),4e_energeiaki_805_kwp_darali__pcc_production_frequency__hz
[4E Energeiaki 805 KWp Darali] PCC Production reactive energy export (kVArh),4e_energeiaki_805_kwp_darali__pcc_production_reactive_energy_export__kvarh
[4E Energeiaki 805 KWp Darali] PCC Production reactive energy import (kVArh),4e_energeiaki_805_kwp_darali__pcc_production_reactive_energy_import__kvarh
[4E Energeiaki 805 KWp Darali] PCC Production total power factor (-),4e_energeiaki_805_kwp_darali__pcc_production_total_power_factor
[4E Energeiaki 805 KWp Darali] PCC Production voltage of L1-L2 (Vac),4e_energeiaki_805_kwp_darali__pcc_production_voltage_of_l1_l2__vac
[4E Energeiaki 805 KWp Darali] PCC Production voltage of L2-L3 (Vac),4e_energeiaki_805_kwp_darali__pcc_production_voltage_of_l2_l3__vac
[4E Energeiaki 805 KWp Darali] PCC Production voltage of L3-L1 (Vac),4e_energeiaki_805_kwp_darali__pcc_production_voltage_of_l3_l1__vac
[4E Energeiaki 805 KWp Darali] PCC Total Production active power (kW),4e_energeiaki_805_kwp_darali__pcc_total_production_active_power__kw
[4E Energeiaki 805 KWp Darali] PCC Total Production apparent power (kVA),4e_energeiaki_805_kwp_darali__pcc_total_production_apparent_power__kva
[4E Energeiaki 805 KWp Darali] PCC Total Production reactive power (kVAr),4e_energeiaki_805_kwp_darali__pcc_total_production_reactive_power__kvar
[Fragiatoula_Utilitas_4866kWp] Fragiatoula_Utilitas_4866kWp Average Irradiance (W*m^-2),fragiatoula_utilitas_4866kwp__fragiatoula_utilitas_4866kwp_average_irradiance__w_m_2
[Fragiatoula_Utilitas_4866kWp] PCC PCC Current THD-R of phase L1 (%),fragiatoula_utilitas_4866kwp__pcc_current_thd_r_of_phase_l1__pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC Current THD-R of phase L2 (%),fragiatoula_utilitas_4866kwp__pcc_current_thd_r_of_phase_l2__pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC Current THD-R of phase L3 (%),fragiatoula_utilitas_4866kwp__pcc_current_thd_r_of_phase_l3__pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC Voltage THD-R of phase L1 (%),fragiatoula_utilitas_4866kwp__pcc_voltage_thd_r_of_phase_l1__pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC Voltage THD-R of phase L2 (%),fragiatoula_utilitas_4866kwp__pcc_voltage_thd_r_of_phase_l2__pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC Voltage THD-R of phase L3 (%),fragiatoula_utilitas_4866kwp__pcc_voltage_thd_r_of_phase_l3__pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC active energy export (kWh),fragiatoula_utilitas_4866kwp__pcc_active_energy_export__kwh
[Fragiatoula_Utilitas_4866kWp] PCC PCC active energy import (kWh),fragiatoula_utilitas_4866kwp__pcc_active_energy_import__kwh
[Fragiatoula_Utilitas_4866kWp] PCC PCC apparent energy (kVAh),fragiatoula_utilitas_4866kwp__pcc_apparent_energy__kvah
[Fragiatoula_Utilitas_4866kWp] PCC PCC average current (A),fragiatoula_utilitas_4866kwp__pcc_average_current__a
[Fragiatoula_Utilitas_4866kWp] PCC PCC average line voltage (Vac),fragiatoula_utilitas_4866kwp__pcc_average_line_voltage__vac
[Fragiatoula_Utilitas_4866kWp] PCC PCC average phase voltage (Vac),fragiatoula_utilitas_4866kwp__pcc_average_phase_voltage__vac
[Fragiatoula_Utilitas_4866kWp] PCC PCC current of phase L1 (A),fragiatoula_utilitas_4866kwp__pcc_current_of_phase_l1__a
[Fragiatoula_Utilitas_4866kWp] PCC PCC current of phase L2 (A),fragiatoula_utilitas_4866kwp__pcc_current_of_phase_l2__a
[Fragiatoula_Utilitas_4866kWp] PCC PCC current of phase L3 (A),fragiatoula_utilitas_4866kwp__pcc_current_of_phase_l3__a
[Fragiatoula_Utilitas_4866kWp] PCC PCC frequency (Hz),fragiatoula_utilitas_4866kwp__pcc_frequency__hz
[Fragiatoula_Utilitas_4866kWp] PCC PCC power factor of phase L1 (-),fragiatoula_utilitas_4866kwp__pcc_power_factor_of_phase_l1
[Fragiatoula_Utilitas_4866kWp] PCC PCC power factor of phase L2 (-),fragiatoula_utilitas_4866kwp__pcc_power_factor_of_phase_l2
[Fragiatoula_Utilitas_4866kWp] PCC PCC power factor of phase L3 (-),fragiatoula_utilitas_4866kwp__pcc_power_factor_of_phase_l3
[Fragiatoula_Utilitas_4866kWp] PCC PCC reactive energy export (kVArh),fragiatoula_utilitas_4866kwp__pcc_reactive_energy_export__kvarh
[Fragiatoula_Utilitas_4866kWp] PCC PCC reactive energy import (kVArh),fragiatoula_utilitas_4866kwp__pcc_reactive_energy_import__kvarh
[Fragiatoula_Utilitas_4866kWp] PCC PCC total power factor (-),fragiatoula_utilitas_4866kwp__pcc_total_power_factor
[Fragiatoula_Utilitas_4866kWp] PCC PCC voltage of L1-L2 (Vac),fragiatoula_utilitas_4866kwp__pcc_voltage_of_l1_l2__vac
[Fragiatoula_Utilitas_4866kWp] PCC PCC voltage of L2-L3 (Vac),fragiatoula_utilitas_4866kwp__pcc_voltage_of_l2_l3__vac
[Fragiatoula_Utilitas_4866kWp] PCC PCC voltage of L3-L1 (Vac),fragiatoula_utilitas_4866kwp__pcc_voltage_of_l3_l1__vac
[Fragiatoula_Utilitas_4866kWp] PCC Production active energy export (kWh),fragiatoula_utilitas_4866kwp__pcc_production_active_energy_export__kwh
[Fragiatoula_Utilitas_4866kWp] PCC Production active energy import (kWh),fragiatoula_utilitas_4866kwp__pcc_production_active_energy_import__kwh
[Fragiatoula_Utilitas_4866kWp] PCC Production current of phase L1 (A),fragiatoula_utilitas_4866kwp__pcc_production_current_of_phase_l1__a
[Fragiatoula_Utilitas_4866kWp] PCC Production current of phase L2 (A),fragiatoula_utilitas_4866kwp__pcc_production_current_of_phase_l2__a
[Fragiatoula_Utilitas_4866kWp] PCC Production current of phase L3 (A),fragiatoula_utilitas_4866kwp__pcc_production_current_of_phase_l3__a
[Fragiatoula_Utilitas_4866kWp] PCC Production frequency (Hz),fragiatoula_utilitas_4866kwp__pcc_production_frequency__hz
[Fragiatoula_Utilitas_4866kWp] PCC Production reactive energy export (kVArh),fragiatoula_utilitas_4866kwp__pcc_production_reactive_energy_export__kvarh
[Fragiatoula_Utilitas_4866kWp] PCC Production reactive energy import (kVArh),fragiatoula_utilitas_4866kwp__pcc_production_reactive_energy_import__kvarh
[Fragiatoula_Utilitas_4866kWp] PCC Production total power factor (-),fragiatoula_utilitas_4866kwp__pcc_production_total_power_factor
[Fragiatoula_Utilitas_4866kWp] PCC Production voltage of L1-L2 (Vac),fragiatoula_utilitas_4866kwp__pcc_production_voltage_of_l1_l2__vac
[Fragiatoula_Utilitas_4866kWp] PCC Production voltage of L2-L3 (Vac),fragiatoula_utilitas_4866kwp__pcc_production_voltage_of_l2_l3__vac
[Fragiatoula_Utilitas_4866kWp] PCC Production voltage of L3-L1 (Vac),fragiatoula_utilitas_4866kwp__pcc_production_voltage_of_l3_l1__vac
[Fragiatoula_Utilitas_4866kWp] PCC Total Production active power (kW),fragiatoula_utilitas_4866kwp__pcc_total_production_active_power__kw
[Fragiatoula_Utilitas_4866kWp] PCC Total Production reactive power (kVAr),fragiatoula_utilitas_4866kwp__pcc_total_production_reactive_power__kvar
[Fragiatoula_Utilitas_4866kWp] Weather Station 1 Ambient temperature (C),fragiatoula_utilitas_4866kwp__weather_station_1_ambient_temperature__c
[Fragiatoula_Utilitas_4866kWp] Weather Station 1 Relative humidity (%),fragiatoula_utilitas_4866kwp__weather_station_1_relative_humidity__pct
[Fragiatoula_Utilitas_4866kWp] Weather Station 1 Wind speed (m*s^-1),fragiatoula_utilitas_4866kwp__weather_station_1_wind_speed__m_s_1
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Current THD-R of phase L1 (%),hlektrogenesis_391_kwp_pelopio__pcc_current_thd_r_of_phase_l1__pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Current THD-R of phase L2 (%),hlektrogenesis_391_kwp_pelopio__pcc_current_thd_r_of_phase_l2__pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Current THD-R of phase L3 (%),hlektrogenesis_391_kwp_pelopio__pcc_current_thd_r_of_phase_l3__pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Voltage THD-R of phase L1 (%),hlektrogenesis_391_kwp_pelopio__pcc_voltage_thd_r_of_phase_l1__pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Voltage THD-R of phase L2 (%),hlektrogenesis_391_kwp_pelopio__pcc_voltage_thd_r_of_phase_l2__pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Voltage THD-R of phase L3 (%),hlektrogenesis_391_kwp_pelopio__pcc_voltage_thd_r_of_phase_l3__pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC active energy export (kWh),hlektrogenesis_391_kwp_pelopio__pcc_active_energy_export__kwh
[Hlektrogenesis 391 KWp Pelopio] PCC PCC active energy import (kWh),hlektrogenesis_391_kwp_pelopio__pcc_active_energy_import__kwh
[Hlektrogenesis 391 KWp Pelopio] PCC PCC apparent energy (kVAh),hlektrogenesis_391_kwp_pelopio__pcc_apparent_energy__kvah
[Hlektrogenesis 391 KWp Pelopio] PCC PCC average current (A),hlektrogenesis_391_kwp_pelopio__pcc_average_current__a
